frame,timestamp,track_id,class,x1,y1,x2,y2,confidence
357,13:49:19,6,person,612,366,1092,717,0.827
359,13:49:19,6,person,609,364,1093,717,0.759
361,13:49:19,6,person,604,358,1097,716,0.872
363,13:49:19,6,person,596,347,1101,714,0.920
365,13:49:19,6,person,592,336,1110,714,0.907
367,13:49:19,6,person,586,320,1123,714,0.913
369,13:49:19,6,person,586,309,1132,713,0.913
371,13:49:20,6,person,588,299,1141,713,0.916
373,13:49:20,6,person,591,290,1148,713,0.928
375,13:49:20,6,person,594,283,1151,713,0.919
377,13:49:20,6,person,594,275,1153,713,0.916
379,13:49:20,6,person,600,270,1156,713,0.916
381,13:49:20,6,person,596,272,1145,713,0.913
383,13:49:20,6,person,601,277,1138,713,0.904
385,13:49:21,6,person,603,285,1130,714,0.914
387,13:49:21,6,person,610,293,1125,713,0.899
389,13:49:21,6,person,613,297,1122,713,0.897
391,13:49:21,6,person,627,298,1131,713,0.863
393,13:49:21,6,person,624,299,1127,713,0.889
395,13:49:21,6,person,625,299,1127,713,0.873
397,13:49:21,6,person,630,299,1129,713,0.865
399,13:49:21,6,person,627,298,1126,713,0.872
401,13:49:22,6,person,637,298,1133,713,0.874
403,13:49:22,6,person,628,298,1125,713,0.892
405,13:49:22,6,person,624,298,1122,714,0.894
407,13:49:22,6,person,625,297,1124,714,0.885
409,13:49:22,6,person,633,297,1130,715,0.890
411,13:49:22,6,person,630,296,1127,714,0.903
413,13:49:22,6,person,629,296,1125,714,0.894
415,13:49:23,6,person,632,298,1125,714,0.896
417,13:49:23,6,person,634,304,1120,714,0.901
419,13:49:23,6,person,633,313,1112,714,0.895
421,13:49:23,6,person,632,328,1100,713,0.892
423,13:49:23,6,person,631,344,1090,715,0.863
425,13:49:23,6,person,628,354,1084,716,0.807
427,13:49:23,6,person,626,361,1083,717,0.788
429,13:49:23,6,person,622,366,1080,718,0.825
431,13:49:24,6,person,615,371,1074,719,0.702
433,13:49:24,6,person,610,373,1070,718,0.811
435,13:49:24,6,person,612,369,1083,718,0.805
437,13:49:24,6,person,610,364,1093,718,0.821
439,13:49:24,6,person,609,362,1098,717,0.851
441,13:49:24,6,person,606,360,1103,718,0.820
443,13:49:24,6,person,604,357,1109,719,0.656
